Name,Reviewed,Class,Type,Materials,Created,Sele,Last edit,IB
Yo y el otro,No,Filo,Apuntes,,"Jan 28, 2020 8:57 AM",No,"Jan 28, 2020 8:57 AM",No
Física de partículas,No,fis,,,"Jan 27, 2020 2:00 PM",No,"Jan 28, 2020 2:40 PM",No
Presentación de caste,No,Caste,Apuntes,,"Jan 17, 2020 10:01 AM",No,"Jan 17, 2020 10:16 AM",No
Subordinadas,No,Caste,Apuntes,,"Jan 17, 2020 9:56 AM",No,"Jan 24, 2020 10:16 AM",No
Narrativa Breu,No,Cata,Apuntes,,"Jan 15, 2020 8:58 AM",Yes,"Jan 27, 2020 3:51 PM",Yes
Presentació oral,No,Cata,Apuntes,,"Jan 13, 2020 3:44 PM",No,"Jan 13, 2020 3:57 PM",No
Oración coordinada,No,Caste,Apuntes,,"Jan 10, 2020 10:08 AM",No,"Jan 13, 2020 2:57 PM",No
Examen martes 14,No,Caste,Temario examen,,"Jan 10, 2020 10:04 AM",Yes,"Jan 14, 2020 7:53 AM",No
Física nuclear,No,,,,"Jan 09, 2020 2:57 PM",No,"Jan 13, 2020 2:15 PM",No
Ejercicios,No,Quimica,Apuntes,,"Jan 09, 2020 8:13 AM",No,"Jan 09, 2020 8:13 AM",No
Deíxis,No,Caste,Apuntes,,"Dec 20, 2019 9:58 AM",No,"Dec 20, 2019 10:03 AM",No
Presentación tr,No,,,,"Dec 18, 2019 8:03 AM",No,"Dec 18, 2019 8:06 AM",No
Tipos de se,No,Caste,Apuntes,,"Dec 16, 2019 2:52 PM",No,"Dec 16, 2019 3:14 PM",No
Difracció,No,,,,"Dec 16, 2019 1:41 PM",No,"Dec 16, 2019 1:51 PM",Yes
Tema 7: Resturació,No,Historia,Apuntes,https://aula-ee.alexiaclassroom.com/pluginfile.php/26108/mod_resource/content/1/Tema7.pdf,"Dec 16, 2019 12:07 PM",Yes,"Dec 16, 2019 12:32 PM",No
Presentació Catala IB,No,Cata,Apuntes,,"Dec 02, 2019 4:00 PM",No,"Dec 05, 2019 9:42 AM",Yes
Tema 6:Catalanisme,No,Historia,Apuntes,,"Dec 02, 2019 12:14 PM",Yes,"Jan 08, 2020 7:47 AM",No
Pirandello,No,Cata,Apuntes,,"Nov 21, 2019 9:01 AM",No,"Dec 16, 2019 12:33 PM",Yes
Repas PNT,No,Cata,Apuntes,,"Nov 20, 2019 8:59 AM",No,"Nov 20, 2019 9:02 AM",No
Temario pnt,No,Caste,Temario examen,,"Nov 18, 2019 2:53 PM",Yes,"Nov 18, 2019 2:58 PM",No
Tema 5,No,Historia,Apuntes,,"Nov 07, 2019 10:12 AM",Yes,"Dec 16, 2019 12:33 PM",No
Notes debat,No,Cata,Apuntes,,"Oct 28, 2019 3:34 PM",No,"Oct 28, 2019 3:58 PM",No
Tema 4,Yes,Historia,Apuntes,,"Oct 23, 2019 8:05 AM",Yes,"Nov 20, 2019 9:40 AM",No
Tema 3,No,Historia,Apuntes,Class%20Notes/Tema3.pdf,"Oct 16, 2019 6:08 AM",Yes,"Dec 16, 2019 12:33 PM",No
Personhood,No,Filo,Apuntes,,"Oct 15, 2019 9:35 AM",No,"Oct 22, 2019 9:25 AM",Yes
Termoquimica,No,Quimica,Apuntes,Class%20Notes/TERMOQUIMICA_.pdf,"Oct 10, 2019 8:13 AM",Yes,"Dec 16, 2019 12:33 PM",No
Tirant lo Blanch,No,Cata,Apuntes,,"Oct 10, 2019 7:52 AM",Yes,"Dec 16, 2019 12:33 PM",No
El lenguaje y la comunicación,Yes,Caste,Apuntes,,"Oct 09, 2019 5:58 PM",Yes,"Dec 16, 2019 12:33 PM",No
Caste,No,Caste,Temario examen,,"Oct 08, 2019 9:52 AM",Yes,"Oct 10, 2019 8:43 PM",No
Noción de persona,No,Filo,Apuntes,,"Oct 07, 2019 4:46 PM",No,"Oct 09, 2019 4:56 PM",Yes
Tema 2,No,Historia,Apuntes,Class%20Notes/Tema2.pdf,"Oct 07, 2019 11:58 AM",No,"Oct 10, 2019 10:05 AM",No
Tema 1,No,Historia,Apuntes,https://www.notion.so/Tema-1-b0264e588010471faf27a6e97ab9eed5#07d1bc81b8334738b36a7908d921c26d,"Sep 18, 2019 8:10 AM",No,"Oct 09, 2019 4:55 PM",No
Naturaleza humana,No,Filo,Apuntes,,"Sep 17, 2019 9:08 AM",No,"Oct 09, 2019 4:50 PM",Yes
Final de la Republica,No,Filo,Apuntes,,"May 31, 2019 10:06 AM",No,"Oct 09, 2019 4:50 PM",Yes
Cuerpo y mente,No,Filo,Apuntes,,"Apr 24, 2019 9:09 AM",No,"Oct 09, 2019 4:50 PM",Yes
Filo,No,Filo,Apuntes,,"Oct 09, 2019 4:42 PM",No,"Oct 10, 2019 7:52 AM",No
Temario,No,,Temario examen,,"Oct 09, 2019 4:43 PM",No,"Oct 09, 2019 4:43 PM",No
Hist,No,Historia,Apuntes,,"Oct 09, 2019 4:43 PM",No,"Oct 10, 2019 7:52 AM",No
Basic,No,,,,"Oct 09, 2019 5:05 PM",No,"Oct 09, 2019 5:06 PM",No
Caste,No,Caste,Apuntes,,"Oct 09, 2019 5:55 PM",No,"Oct 10, 2019 7:51 AM",No
Quimica,No,Quimica,Apuntes,,"Oct 10, 2019 7:44 AM",No,"Oct 10, 2019 8:12 AM",No
Català,No,Cata,Apuntes,,"Oct 10, 2019 7:50 AM",No,"Oct 10, 2019 7:51 AM",No
Catala,No,Cata,Apuntes,,"Oct 28, 2019 3:34 PM",No,"Oct 28, 2019 3:34 PM",No
Fesica,No,,,,"Dec 16, 2019 1:41 PM",No,"Dec 16, 2019 1:42 PM",No
